iter	Passed	Remaining
0	0	707
1	0	624
2	0	596
3	0	548
4	0	590
5	1	650
6	1	631
7	1	620
8	1	615
9	2	607
10	2	599
11	2	592
12	2	587
13	2	599
14	3	629
15	3	627
16	3	629
17	3	634
18	4	633
19	4	628
20	4	623
21	4	618
22	4	614
23	4	611
24	5	611
25	5	603
26	5	603
27	5	601
28	5	598
29	6	595
30	6	593
31	6	604
32	6	602
33	6	601
34	7	600
35	7	599
36	7	596
37	7	594
38	7	592
39	7	590
40	8	593
41	8	593
42	8	592
43	8	590
44	8	585
45	9	583
46	9	579
47	9	578
48	9	577
49	9	576
50	10	584
51	10	584
52	10	583
53	10	579
54	10	584
55	11	584
56	11	583
57	11	582
58	11	581
59	11	581
60	12	580
61	12	578
62	12	573
63	12	573
64	12	572
65	12	571
66	13	570
67	13	570
68	13	570
69	13	569
70	13	568
71	13	568
72	14	567
73	14	563
74	14	561
75	14	565
76	14	566
77	15	565
78	15	564
79	15	563
80	15	562
81	15	562
82	15	561
83	16	560
84	16	559
85	16	559
86	16	558
87	16	557
88	17	556
89	17	556
90	17	555
91	17	558
92	17	557
93	18	556
94	18	556
95	18	555
96	18	556
97	18	552
98	18	552
99	18	550
100	19	550
101	19	549
102	19	548
103	19	548
104	19	547
105	20	547
106	20	546
107	20	545
108	20	543
109	20	543
110	20	542
111	20	541
112	21	540
113	21	540
114	21	539
115	21	538
116	21	538
117	22	538
118	22	537
119	22	537
120	22	536
121	22	535
122	22	534
123	23	534
124	23	534
125	23	533
126	23	533
127	23	532
128	23	532
129	24	531
130	24	531
131	24	530
132	24	530
133	24	528
134	24	528
135	25	530
136	25	530
137	25	529
138	25	529
139	25	529
140	26	528
141	26	529
142	26	529
143	26	532
144	27	532
145	27	531
146	27	531
147	27	531
148	27	530
149	27	530
150	28	530
151	28	528
152	28	527
153	28	527
154	28	526
155	28	526
156	29	526
157	29	536
158	30	536
159	30	535
160	30	534
161	30	534
162	30	534
163	30	533
164	31	533
165	31	532
166	31	532
167	31	532
168	31	532
169	31	531
170	32	531
171	32	530
172	32	530
173	32	529
174	32	529
175	32	528
176	33	528
177	33	528
178	33	528
179	33	527
180	33	527
181	34	527
182	34	527
183	34	527
184	34	526
185	34	526
186	34	525
187	35	525
188	35	525
189	35	525
190	35	524
191	35	524
192	36	523
193	36	523
194	36	522
195	36	522
196	36	522
197	36	521
198	37	521
199	37	520
200	37	520
201	37	520
202	37	520
203	37	519
204	38	518
205	38	517
206	38	516
207	38	516
208	38	515
209	38	516
210	39	516
211	39	517
212	39	516
213	39	516
214	39	516
215	40	515
216	40	515
217	40	514
218	40	513
219	40	513
220	40	513
221	40	512
222	41	513
223	41	513
224	41	513
225	41	513
226	41	512
227	42	512
228	42	512
229	42	511
230	42	511
231	42	511
232	43	511
233	43	511
234	43	510
235	43	510
236	43	509
237	43	509
238	44	509
239	44	508
240	44	508
241	44	507
242	44	507
243	44	507
244	45	507
245	45	506
246	45	506
247	45	506
248	45	506
249	45	505
250	46	505
251	46	505
252	46	504
253	46	504
254	46	504
255	47	503
256	47	503
257	47	503
258	47	503
259	47	502
260	47	502
261	48	501
262	48	501
263	48	501
264	48	501
265	48	501
266	48	501
267	49	500
268	49	500
269	49	500
270	49	500
271	49	499
272	50	499
273	50	499
274	50	499
275	50	498
276	50	498
277	50	498
278	51	498
279	51	498
280	51	497
281	51	497
282	51	497
283	52	497
284	52	496
285	52	497
286	52	500
287	53	499
288	53	498
289	53	498
290	53	498
291	53	498
292	53	497
293	54	497
294	54	497
295	54	497
296	54	497
297	54	496
298	54	496
299	55	496
300	55	495
301	55	495
302	55	495
303	55	495
304	56	495
305	56	494
306	56	494
307	56	494
308	56	494
309	56	493
310	57	493
311	57	493
312	57	493
313	57	492
314	57	492
315	57	492
316	58	492
317	58	491
318	58	491
319	58	490
320	58	490
321	58	490
322	59	490
323	59	490
324	59	490
325	59	490
326	60	490
327	60	490
328	60	490
329	60	490
330	60	489
331	60	489
332	61	489
333	61	489
334	61	488
335	61	488
336	61	488
337	62	488
338	62	488
339	62	487
340	62	487
341	62	487
342	62	487
343	63	488
344	63	488
345	63	488
346	63	488
347	64	487
348	64	487
349	64	486
350	64	486
351	64	486
352	64	486
353	65	485
354	65	485
355	65	485
356	65	484
357	65	484
358	65	484
359	66	484
360	66	484
361	66	483
362	66	483
363	66	483
364	66	483
365	67	482
366	67	482
367	67	482
368	67	482
369	67	482
370	68	482
371	68	481
372	68	482
373	68	482
374	68	481
375	69	481
376	69	481
377	69	481
378	69	480
379	69	480
380	69	480
381	70	480
382	70	479
383	70	479
384	70	479
385	70	479
386	70	478
387	71	478
388	71	478
389	71	478
390	71	477
391	71	477
392	71	476
393	72	476
394	72	476
395	72	476
396	72	475
397	72	475
398	73	476
399	73	476
400	73	475
401	73	475
402	73	475
403	73	475
404	74	474
405	74	474
406	74	474
407	74	474
408	74	474
409	75	474
410	75	473
411	75	473
412	75	473
413	75	473
414	75	473
415	76	472
416	76	472
417	76	472
418	76	471
419	76	471
420	76	471
421	77	471
422	77	471
423	77	471
424	77	470
425	77	470
426	78	470
427	78	470
428	78	470
429	78	469
430	78	469
431	78	469
432	79	469
433	79	468
434	79	468
435	79	467
436	79	467
437	79	467
438	80	467
439	80	466
440	80	466
441	80	466
442	80	466
443	80	466
444	81	465
445	81	465
446	81	465
447	81	465
448	81	465
449	82	464
450	82	464
451	82	464
452	82	464
453	82	465
454	83	465
455	83	465
456	83	464
457	83	464
458	83	464
459	84	464
460	84	463
461	84	463
462	84	463
463	84	462
464	84	462
465	85	462
466	85	462
467	85	461
468	85	461
469	85	461
470	85	461
471	86	460
472	86	460
473	86	460
474	86	460
475	86	460
476	86	459
477	87	459
478	87	459
479	87	458
480	87	458
481	87	458
482	87	458
483	88	457
484	88	457
485	88	457
486	88	457
487	88	456
488	88	456
489	89	456
490	89	456
491	89	455
492	89	455
493	89	455
494	89	454
495	90	454
496	90	454
497	90	454
498	90	453
499	90	453
500	90	453
501	91	452
502	91	453
503	91	453
504	91	452
505	91	452
506	92	452
507	92	452
508	92	453
509	92	453
510	93	453
511	93	453
512	93	453
513	93	453
514	93	453
515	94	452
516	94	452
517	94	452
518	94	452
519	94	452
520	95	452
521	95	452
522	95	451
523	95	451
524	95	451
525	95	451
526	96	450
527	96	450
528	96	450
529	96	450
530	96	450
531	96	449
532	97	449
533	97	449
534	97	449
535	97	449
536	97	449
537	98	448
538	98	448
539	98	448
540	99	451
541	99	450
542	99	450
543	99	450
544	99	450
545	100	449
546	100	449
547	100	449
548	100	449
549	100	448
550	100	448
551	101	448
552	101	448
553	101	447
554	101	448
555	101	447
556	102	447
557	102	447
558	102	447
559	102	447
560	102	446
561	102	446
562	103	446
563	103	446
564	103	445
565	103	445
566	103	445
567	103	445
568	104	444
569	104	444
570	104	444
