Property,Feature,N,MAE_formula,Max_abs_error
HV,STem-ATem,1134,13.537918871252204,300.0
HV,One-Hot-Processing,1136,0.6795774647887324,2.0
HV,CR_x_ATem,1134,24.77515873015874,374.88750000000005
HV,Ni/wt.%,1136,0.0,0.0
HV,Tmavg,1136,2.963863896094525e-12,5.002220859751105e-12
HV,χvar,1136,2.1798888739939706e-18,3.903127820947816e-18
HV,Family,1136,0.02640845070422535,3.0
EC,ATem_x_Atime,1134,1397.17197847707,181739.4
EC,STem-ATem,1134,13.537918871252204,300.0
EC,CR_x_ATem,1134,24.77515873015874,374.88750000000005
EC,Ni/Si,1035,1.4222654186961304e-15,4.440892098500626e-15
EC,Ni*Si,1136,2.7227828755331745e-16,1.7763568394002505e-15
EC,N_eff,1136,1.8132991196210524e-15,4.884981308350689e-15
EC,Tmavg,1136,2.963863896094525e-12,5.002220859751105e-12
EC,Alloying,1136,1.630384287328211e-16,3.3306690738754696e-16
EC,VECavg,1136,2.0686113229248164e-14,5.3290705182007514e-14
Q3,STem-ATem,1134,13.537918871252204,300.0
Q3,One-Hot-Processing,1136,0.6795774647887324,2.0
Q3,CR_x_ATem,1134,24.77515873015874,374.88750000000005
Q3,Mg/(Ni+Si),1035,1.8342815189459107e-17,3.469446951953614e-17
Q3,Tmavg,1136,2.963863896094525e-12,5.002220859751105e-12
Q3,χvar,1136,2.1798888739939706e-18,3.903127820947816e-18
Q3,Smix,1136,3.914118800445626e-11,4.9887649566926484e-11
Q3,δ,1136,2.4221992760514184e-17,6.591949208711867e-17
Q3,VECvar,1136,3.4729762590818517e-14,6.217248937900877e-14
