iter	Passed	Remaining
0	1	3570
1	1	2304
2	1	1964
3	2	1840
4	2	1741
5	3	1563
6	3	1414
7	3	1299
8	3	1216
9	3	1146
10	4	1088
11	4	1040
12	4	999
13	4	957
14	4	931
15	4	919
16	5	941
17	5	931
18	5	912
19	6	920
20	6	907
21	6	905
22	7	998
23	8	1007
24	8	1008
25	9	1081
26	9	1062
27	9	1045
28	10	1029
29	10	1009
30	10	993
31	10	995
32	11	996
33	11	988
34	11	976
35	11	960
36	11	943
37	12	935
38	12	924
39	12	917
40	12	906
41	12	895
42	12	886
43	13	875
44	13	870
45	13	875
46	13	879
47	14	871
48	14	870
49	14	871
50	15	874
51	15	873
52	15	873
53	16	874
54	16	885
55	16	886
56	17	887
57	17	886
58	17	876
59	17	871
60	18	867
61	18	864
62	18	860
63	18	868
64	19	865
65	19	869
66	19	868
67	20	863
68	20	862
69	20	861
70	20	860
71	21	856
72	21	849
73	21	844
74	21	844
75	21	843
76	22	839
77	22	835
78	22	830
79	22	829
80	23	830
81	23	831
82	23	827
83	23	828
84	24	830
85	24	830
86	24	833
87	25	834
88	25	836
89	25	837
90	26	835
91	26	831
92	26	827
93	26	821
94	26	818
95	26	816
96	27	812
97	27	809
98	27	807
99	27	804
100	27	802
101	28	798
102	28	795
103	28	792
104	28	794
105	29	795
106	29	797
107	29	797
108	30	798
109	30	796
110	30	792
111	30	789
112	30	786
113	30	783
114	31	784
115	31	780
116	31	777
117	31	774
118	31	771
119	32	768
120	32	765
121	32	762
122	32	759
123	32	756
124	32	753
125	32	750
126	33	747
127	33	744
128	33	741
129	33	739
130	33	736
131	33	734
132	34	735
133	34	736
134	34	738
135	35	738
136	35	742
137	36	747
138	36	751
139	36	750
140	36	748
141	37	746
142	37	747
143	37	749
144	38	748
145	38	748
146	38	749
147	38	749
148	39	747
149	39	748
150	39	746
151	39	745
152	40	745
153	40	742
154	40	740
155	40	738
156	40	737
157	40	735
158	41	735
159	41	736
160	41	737
161	42	736
162	42	734
163	42	733
164	42	731
165	42	733
166	43	734
167	43	736
168	44	738
169	44	738
170	44	739
171	44	739
172	45	740
173	45	741
174	45	742
175	46	740
176	46	739
177	46	742
178	47	741
179	47	739
180	47	740
181	47	739
182	47	737
183	48	736
184	48	734
185	48	733
186	49	742
187	49	741
188	49	740
189	49	739
190	50	737
191	50	736
192	50	734
193	50	732
194	50	731
195	51	730
196	51	728
197	51	726
198	51	725
199	51	723
200	51	721
201	51	720
202	52	723
203	52	722
204	52	721
205	53	719
206	53	718
207	53	716
208	53	714
209	53	713
210	53	711
211	54	710
212	54	708
213	54	707
214	54	705
215	54	703
216	54	701
217	54	700
218	55	698
219	55	697
220	55	695
221	55	694
222	55	693
223	55	692
224	56	691
225	56	690
226	56	689
227	56	687
228	56	685
229	56	684
230	56	683
231	57	686
232	57	686
233	58	687
234	58	686
235	58	687
236	58	687
237	59	686
238	59	685
239	59	683
240	59	682
241	59	682
242	60	681
243	60	680
244	61	688
245	61	689
246	61	688
247	62	688
248	62	687
249	62	687
250	62	686
251	62	686
252	63	686
253	63	685
254	63	684
255	63	685
256	64	686
257	64	686
258	64	687
259	65	686
260	65	685
261	65	684
262	65	683
263	65	682
264	66	681
265	66	680
266	66	679
267	66	678
268	66	677
269	67	679
270	67	680
271	67	681
272	68	681
273	68	681
274	68	682
275	69	682
276	69	681
277	69	680
278	69	680
279	70	680
280	70	679
281	70	678
282	70	676
283	70	675
284	70	674
285	70	673
286	71	672
287	71	673
288	72	676
289	72	675
290	72	675
291	73	680
292	73	680
293	73	679
294	73	678
295	74	677
296	74	676
297	74	675
298	74	674
299	74	673
300	74	672
301	75	671
302	75	670
303	75	669
304	75	668
305	75	667
306	76	667
307	76	666
308	76	665
309	76	665
310	77	668
311	77	668
312	77	667
313	77	666
314	78	665
315	78	665
316	78	664
317	78	665
318	79	664
319	79	664
320	79	663
321	79	663
322	79	662
323	80	662
324	80	661
325	80	661
326	80	660
327	81	660
328	81	660
329	81	659
330	81	658
331	81	658
332	82	658
333	82	657
334	82	656
335	82	655
336	82	654
337	83	654
338	83	653
339	83	652
340	83	651
341	83	650
342	83	649
343	84	648
344	84	647
345	84	647
346	84	646
347	84	646
348	85	645
349	85	644
350	85	644
351	85	643
352	85	642
353	85	641
354	86	642
355	86	643
356	87	644
357	87	645
358	87	644
359	87	643
360	87	643
361	88	642
362	88	641
363	88	641
364	88	640
365	88	639
366	89	638
367	89	638
368	89	637
369	89	636
370	89	635
371	90	638
372	90	638
373	91	639
374	91	639
375	91	639
376	91	638
377	91	638
378	92	637
379	92	637
380	92	636
381	92	635
382	92	635
383	93	634
384	93	633
385	93	633
386	93	632
387	93	631
388	93	630
389	94	629
390	94	629
391	94	628
392	94	627
393	94	626
394	94	626
395	95	625
396	95	624
397	95	623
398	95	623
399	95	622
400	96	622
401	96	621
402	96	621
403	96	620
404	96	619
405	96	619
406	97	618
407	97	617
408	97	616
409	97	616
410	97	615
411	97	614
412	98	614
413	98	613
414	98	613
415	98	612
416	98	611
417	98	611
418	99	610
419	99	610
420	99	609
421	99	609
422	100	609
423	100	609
424	100	608
425	100	608
426	101	611
427	101	611
428	102	611
429	102	611
430	102	611
431	103	612
432	103	613
433	103	613
434	104	613
435	104	615
436	104	614
437	105	614
438	105	615
439	105	615
440	105	615
441	106	614
442	106	614
443	106	614
444	106	613
445	107	613
446	107	613
447	107	613
448	107	612
449	107	611
450	108	611
451	108	610
452	108	610
453	108	609
454	108	609
455	109	608
456	109	608
457	109	607
458	109	606
459	109	606
460	110	607
461	110	607
462	110	607
463	111	607
464	111	607
465	111	607
466	112	607
467	112	607
468	112	607
469	112	608
470	113	607
471	113	607
472	113	606
473	113	606
474	113	605
475	114	604
476	114	604
477	114	605
478	114	605
479	115	604
480	115	604
481	115	605
482	116	604
483	116	604
484	116	604
485	116	603
486	116	603
487	117	603
488	117	604
489	117	604
490	118	605
491	118	605
492	119	605
493	119	605
494	119	605
495	119	605
496	120	604
497	120	604
498	120	604
499	120	603
500	121	603
501	121	603
502	121	602
503	121	602
504	121	601
505	121	601
506	122	601
507	122	601
508	122	601
509	123	601
510	123	600
511	123	600
512	123	601
513	124	601
514	124	601
515	124	601
