iter	Passed	Remaining
0	0	2815
1	1	1583
2	1	1174
3	1	965
4	1	841
5	1	751
6	1	688
7	1	641
8	1	602
9	1	575
10	2	552
11	2	531
12	2	539
13	2	527
14	2	516
15	2	503
16	2	492
17	2	483
18	3	475
19	3	468
20	3	461
21	3	457
22	3	450
23	3	445
24	3	439
25	3	434
26	3	429
27	4	426
28	4	422
29	4	416
30	4	413
31	4	409
32	4	407
33	4	404
34	4	401
35	4	397
36	4	394
37	5	392
38	5	390
39	5	387
40	5	386
41	5	384
42	5	382
43	5	381
44	5	379
45	5	378
46	5	376
47	6	375
48	6	373
49	6	372
50	6	370
51	6	369
52	6	368
53	6	367
54	6	366
55	6	365
56	7	369
57	7	368
58	7	367
59	7	366
60	7	364
61	7	363
62	7	362
63	7	361
64	7	360
65	8	360
66	8	359
67	8	358
68	8	357
69	8	356
70	8	356
71	8	355
72	8	354
73	8	352
74	9	351
75	9	350
76	9	350
77	9	349
78	9	351
79	9	350
80	9	349
81	9	349
82	9	348
83	10	347
84	10	346
85	10	345
86	10	345
87	10	344
88	10	344
89	10	343
90	10	343
91	10	342
92	10	342
93	11	341
94	11	340
95	11	340
96	11	343
97	11	342
98	11	342
99	11	342
100	11	341
101	12	341
102	12	340
103	12	340
104	12	339
105	12	339
106	12	338
107	12	338
108	12	337
109	12	337
110	12	336
111	13	336
112	13	335
113	13	335
114	13	334
115	13	334
116	13	334
117	13	333
118	13	333
119	13	332
120	13	332
121	14	332
122	14	331
123	14	331
124	14	330
125	14	330
126	14	330
127	14	329
128	14	329
129	14	329
130	15	329
131	15	328
132	15	328
133	15	328
134	15	328
135	15	327
136	15	327
137	15	327
138	15	326
139	15	326
140	16	326
141	16	325
142	16	325
143	16	325
144	16	324
145	16	323
146	16	323
147	16	323
148	16	322
149	16	322
150	17	322
151	17	322
152	17	322
153	17	322
154	17	321
155	17	321
156	17	321
157	17	321
158	17	321
159	18	320
160	18	320
161	18	320
162	18	320
163	18	320
164	18	319
165	18	319
166	18	319
167	18	319
168	19	319
169	19	319
170	19	319
171	19	319
172	19	318
173	19	318
174	19	318
175	19	318
176	19	318
177	20	317
178	20	317
179	20	317
180	20	318
181	20	318
182	20	318
183	20	317
184	20	317
185	20	317
186	21	317
187	21	317
188	21	316
189	21	316
190	21	316
191	21	316
192	21	315
193	21	315
194	21	315
195	22	315
196	22	314
197	22	314
198	22	314
199	22	314
200	22	313
201	22	313
202	22	313
203	22	313
204	22	312
205	23	312
206	23	312
207	23	312
208	23	312
209	23	311
210	23	311
211	23	311
212	23	311
213	23	310
214	23	310
215	24	310
216	24	310
217	24	309
218	24	309
219	24	309
220	24	308
221	24	308
222	24	308
223	24	308
224	25	308
225	25	308
226	25	308
227	25	307
228	25	307
229	25	307
230	25	307
231	25	307
232	25	306
233	25	306
234	26	306
235	26	306
236	26	306
237	26	306
238	26	305
239	26	305
240	26	305
241	26	305
242	26	304
243	26	304
244	27	304
245	27	304
246	27	304
247	27	304
248	27	304
249	27	304
250	27	304
251	27	304
252	28	304
253	28	303
254	28	303
255	28	303
256	28	303
257	28	303
258	28	303
259	28	303
260	28	303
261	28	302
262	29	302
263	29	302
264	29	302
265	29	302
266	29	301
267	29	301
268	29	301
269	29	301
270	29	301
271	30	301
272	30	301
273	30	300
274	30	300
275	30	300
276	30	300
277	30	300
278	30	300
279	30	300
280	30	299
281	31	299
282	31	299
283	31	299
284	31	299
285	31	298
286	31	298
287	31	298
288	31	298
289	31	298
290	32	298
291	32	297
292	32	297
293	32	297
294	32	297
295	32	297
296	32	297
297	32	296
298	32	296
299	32	296
300	33	296
301	33	296
302	33	296
303	33	296
304	33	295
305	33	296
